Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Renault Kwid CLIMBER 1.0 AMT (O),Kwid CLIMBER 1.0 AMT (O),Renault,2022,Petrol,"2,908",Automatic,₹4.95 Lakh,Mumbai
Honda City 1.5L I-VTEC ZX,City 1.5L I-VTEC ZX,Honda,2019,Petrol,"17,087",Manual,₹8.95 Lakh,Mumbai
Maruti XL6 ZETA MT,XL6 ZETA MT,Maruti,2022,Petrol,"9,626",Manual,₹9.68 Lakh,Mumbai
Ford Ecosport TITANIUM+ 1.5L DIESEL,Ecosport TITANIUM+ 1.5L DIESEL,Ford,2017,Diesel,"79,659",Manual,₹6.52 Lakh,Mumbai
Honda Amaze 1.2L I-VTEC V,Amaze 1.2L I-VTEC V,Honda,2020,Petrol,"30,688",Manual,₹6.03 Lakh,Mumbai
Hyundai Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Hyundai,2017,Petrol,"98,272",Manual,₹5.13 Lakh,Mumbai
Toyota Innova 2.5 VX 7 STR,Innova 2.5 VX 7 STR,Toyota,2015,Diesel,"1,21,038",Manual,₹8.83 Lakh,Mumbai
Maruti Swift Dzire VXI,Swift Dzire VXI,Maruti,2015,Petrol,"84,530",Manual,₹3.69 Lakh,Mumbai
Maruti New Wagon-R VXI 1.2,New Wagon-R VXI 1.2,Maruti,2019,Petrol,"11,829",Manual,₹4.67 Lakh,Mumbai
Renault Duster 110 PS RXZ DIESEL,Duster 110 PS RXZ DIESEL,Renault,2013,Diesel,"59,697",Manual,₹3.76 Lakh,Mumbai
Maruti Ertiga VXI CNG,Ertiga VXI CNG,Maruti,2015,CNG,"52,143",Manual,₹5.89 Lakh,Mumbai
Maruti IGNIS ALPHA 1.2,IGNIS ALPHA 1.2,Maruti,2020,Petrol,"20,435",Manual,₹5.54 Lakh,Mumbai
Maruti Swift ZXI,Swift ZXI,Maruti,2011,Petrol,"67,725",Manual,₹2.37 Lakh,Mumbai
Hyundai i20 SPORTZ 1.2,i20 SPORTZ 1.2,Hyundai,2013,Petrol,"79,892",Manual,₹2.98 Lakh,Mumbai
Maruti Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Maruti,2017,Petrol,"57,626",Manual,₹4.77 Lakh,Mumbai
Hyundai Creta S 1.6 PETROL,Creta S 1.6 PETROL,Hyundai,2015,Petrol,"76,643",Manual,₹6.32 Lakh,Mumbai
Maruti Vitara Brezza VDI,Vitara Brezza VDI,Maruti,2017,Diesel,"53,140",Manual,₹6.29 Lakh,Mumbai
Maruti Wagon R 1.0 LXI CNG,Wagon R 1.0 LXI CNG,Maruti,2015,CNG,"30,014",Manual,₹3.54 Lakh,Mumbai
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2018,Petrol,"34,473",Automatic,₹3.66 Lakh,Mumbai
Maruti Baleno SIGMA PETROL 1.2,Baleno SIGMA PETROL 1.2,Maruti,2017,Petrol,"76,316",Manual,₹4.20 Lakh,Mumbai
Maruti Dzire ZXI Plus AMT,Dzire ZXI Plus AMT,Maruti,2023,Petrol,"12,653",Automatic,₹8.28 Lakh,Mumbai
Maruti Ertiga ZDI + SHVS,Ertiga ZDI + SHVS,Maruti,2017,Diesel,"94,570",Manual,₹8.25 Lakh,Mumbai
KIA SELTOS GTX PLUS DCT 1.4 PETROL,SELTOS GTX PLUS DCT 1.4 PETROL,KIA,2020,Petrol,"65,200",Automatic,₹13.50 Lakh,Mumbai
Maruti Baleno DELTA CVT PETROL 1.2,Baleno DELTA CVT PETROL 1.2,Maruti,2016,Petrol,"34,019",Automatic,₹5.20 Lakh,Mumbai
Honda Jazz 1.2L I-VTEC V AT,Jazz 1.2L I-VTEC V AT,Honda,2017,Petrol,"45,773",Automatic,₹4.66 Lakh,Mumbai
Ford Ecosport TITANIUM 1.5L PETROL AT,Ecosport TITANIUM 1.5L PETROL AT,Ford,2016,Petrol,"41,949",Automatic,₹5.61 Lakh,Mumbai
Renault Kwid RXL 1.0 (O),Kwid RXL 1.0 (O),Renault,2022,Petrol,"4,744",Manual,₹4.30 Lakh,Mumbai
Maruti Celerio ZXI (O),Celerio ZXI (O),Maruti,2021,Petrol,"23,012",Manual,₹5.02 Lakh,Mumbai
Hyundai Creta SX AT 1.6 DIESEL,Creta SX AT 1.6 DIESEL,Hyundai,2018,Diesel,"1,07,774",Automatic,₹10.26 Lakh,Mumbai
Honda City 1.5L I-VTEC ZX,City 1.5L I-VTEC ZX,Honda,2020,Petrol,"44,722",Manual,₹8.93 Lakh,Mumbai
Hyundai Creta S 1.6 PETROL,Creta S 1.6 PETROL,Hyundai,2016,Petrol,"45,568",Manual,₹6.68 Lakh,Mumbai
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2018,Petrol,"54,530",Manual,₹5.07 Lakh,Mumbai
Toyota Glanza V CVT,Glanza V CVT,Toyota,2020,Petrol,"57,023",Automatic,₹6.83 Lakh,Mumbai
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2017,Petrol,"78,285",Automatic,₹3.75 Lakh,Mumbai
Maruti S PRESSO VXI (O) CNG,S PRESSO VXI (O) CNG,Maruti,2022,CNG,"31,772",Manual,₹4.88 Lakh,Mumbai
