Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Maruti IGNIS ZETA 1.2,IGNIS ZETA 1.2,Maruti,2017,Petrol,"27,027",Manual,₹4.15 Lakh,Kolkata
Honda City 1.5L I-VTEC E MT,City 1.5L I-VTEC E MT,Honda,2014,Petrol,"60,590",Manual,₹3.50 Lakh,Kolkata
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2021,Petrol,"12,992",Manual,₹4.27 Lakh,Kolkata
Maruti IGNIS ZETA 1.2,IGNIS ZETA 1.2,Maruti,2022,Petrol,"20,634",Manual,₹6.19 Lakh,Kolkata
Renault TRIBER RXZ,TRIBER RXZ,Renault,2021,Petrol,"29,603",Manual,₹5.93 Lakh,Kolkata
Honda Amaze 1.2L I-VTEC VX,Amaze 1.2L I-VTEC VX,Honda,2019,Petrol,"54,427",Manual,₹5.30 Lakh,Kolkata
Honda Amaze 1.2L I-VTEC S,Amaze 1.2L I-VTEC S,Honda,2021,Petrol,"20,227",Manual,₹5.76 Lakh,Kolkata
Tata Tiago XZA PLUS PETROL,Tiago XZA PLUS PETROL,Tata,2023,Petrol,"7,889",Automatic,₹6.72 Lakh,Kolkata
Maruti Swift VXI,Swift VXI,Maruti,2019,Petrol,"23,964",Manual,₹4.85 Lakh,Kolkata
Maruti Alto LXI O,Alto LXI O,Maruti,2022,Petrol,"1,011",Manual,₹3.85 Lakh,Kolkata
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2018,Petrol,"38,242",Manual,₹3.63 Lakh,Kolkata
Hyundai Eon D-LITE+,Eon D-LITE+,Hyundai,2017,Petrol,"27,803",Manual,₹2.14 Lakh,Kolkata
Maruti Alto K10 VXI PLUS,Alto K10 VXI PLUS,Maruti,2022,Petrol,"2,821",Manual,₹4.71 Lakh,Kolkata
Hyundai NEW SANTRO MAGNA,NEW SANTRO MAGNA,Hyundai,2018,Petrol,"30,271",Manual,₹3.75 Lakh,Kolkata
Maruti S PRESSO LXI (O),S PRESSO LXI (O),Maruti,2019,Petrol,"36,132",Manual,₹3.70 Lakh,Kolkata
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2012,Petrol,"60,764",Manual,₹1.90 Lakh,Kolkata
Tata Tiago XT PETROL,Tiago XT PETROL,Tata,2021,Petrol,"11,624",Manual,₹5.17 Lakh,Kolkata
Hyundai Xcent S 1.2,Xcent S 1.2,Hyundai,2014,Petrol,"97,215",Manual,₹2.68 Lakh,Kolkata
Maruti Swift VXI,Swift VXI,Maruti,2011,Petrol,"52,563",Manual,₹2.19 Lakh,Kolkata
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2019,Petrol,"17,064",Manual,₹3.94 Lakh,Kolkata
Hyundai NEW SANTRO SPORTZ AMT,NEW SANTRO SPORTZ AMT,Hyundai,2021,Petrol,"16,506",Automatic,₹4.95 Lakh,Kolkata
Hyundai GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT,GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT,Hyundai,2020,Petrol,"32,265",Manual,₹4.59 Lakh,Kolkata
Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,Hyundai,2021,Petrol,"9,626",Manual,₹6.24 Lakh,Kolkata
Hyundai i10 MAGNA 1.2,i10 MAGNA 1.2,Hyundai,2012,Petrol,"27,958",Manual,₹1.67 Lakh,Kolkata
Hyundai Verna 1.6 VTVT SX O,Verna 1.6 VTVT SX O,Hyundai,2018,Petrol,"60,647",Manual,₹7.05 Lakh,Kolkata
Maruti Ertiga VXI,Ertiga VXI,Maruti,2013,Petrol,"13,087",Manual,₹4.11 Lakh,Kolkata
Hyundai Elite i20 SPORTZ PLUS 1.2,Elite i20 SPORTZ PLUS 1.2,Hyundai,2020,Petrol,"19,157",Manual,₹6.34 Lakh,Kolkata
