Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Tata PUNCH CREATIVE AMT 1.2 RTN DUAL TONE,PUNCH CREATIVE AMT 1.2 RTN DUAL TONE,Tata,2023,Petrol,"2,806",Automatic,₹9.56 Lakh,Bangalore
Maruti OMNI E 8 STR,OMNI E 8 STR,Maruti,2017,Petrol,"20,461",Manual,₹3.26 Lakh,Bangalore
Honda City 1.5L I-VTEC VX CVT,City 1.5L I-VTEC VX CVT,Honda,2015,Petrol,"83,630",Automatic,₹6.51 Lakh,Bangalore
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2022,Petrol,"6,410",Manual,₹4.86 Lakh,Bangalore
Hyundai NEW SANTRO SPORTZ MT,NEW SANTRO SPORTZ MT,Hyundai,2022,Petrol,"19,934",Manual,₹5.87 Lakh,Bangalore
Hyundai i20 MAGNA (O) 1.2,i20 MAGNA (O) 1.2,Hyundai,2013,Petrol,"80,835",Manual,₹3.59 Lakh,Bangalore
Maruti Ciaz DELTA DIESEL 1.3,Ciaz DELTA DIESEL 1.3,Maruti,2018,Diesel,"80,245",Manual,₹7.01 Lakh,Bangalore
Maruti Celerio VXI AMT,Celerio VXI AMT,Maruti,2015,Petrol,"52,643",Automatic,₹4.04 Lakh,Bangalore
Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Hyundai,2019,Petrol,"12,878",Automatic,₹7.26 Lakh,Bangalore
Maruti Ertiga VXI,Ertiga VXI,Maruti,2014,Petrol,"92,745",Manual,₹5.71 Lakh,Bangalore
Hyundai Creta SX (O) IVT 1.5 PETROL,Creta SX (O) IVT 1.5 PETROL,Hyundai,2020,Petrol,"38,702",Automatic,₹14.89 Lakh,Bangalore
Volkswagen Polo HIGHLINE1.2L,Polo HIGHLINE1.2L,Volkswagen,2014,Petrol,"37,711",Manual,₹5.60 Lakh,Bangalore
